Sure,Ayet Sayısı
Fatiha,7
Bakara,286
Al-i İmran,200
Nisa,176
Maide,120
Enam,165
Araf,206
Enfal,75
Tevbe,129
Yunus,109
Hud,123
Yusuf,111
Rad,43
İbrahim,52
Hicr,99
Nahl,128
İsra,111
Kehf,110
Meryem,98
Taha,135
Enbiya,112
Hac,78
Müminun,118
Nur,64
Furkan,77
Şuara,227
Neml,93
Kasas,88
Ankebut,69
Rum,60
Lokman,34
Secde,30
Ahzab,73
Sebe,54
Fatır,45
Yasin,83
Saffat,182
Sad,88
Zümer,75
Mümin,85
Fussilet,54
Şura,53
Zuhruf,89
Duhan,59
Casiye,37
Ahkaf,35
Muhammed,38
Fetih,29
Hucurat,18
Kaf,45
Zariyat,60
Tur,49
Necm,62
Kamer,55
Rahman,78
Vakıa,96
Hadid,29
Mücadele,22
Haşr,24
Mümtehine,13
Saf,14
Cuma,11
Münafıkun,11
Tegabun,18
Talak,12
Tahrim,12
Mülk,30
Kalem,52
Hakka,52
Mearic,44
Nuh,28
Cin,28
Müzzemmil,20
Müddessir,56
Kıyamet,40
İnsan,31
Mürselat,50
Nebe,40
Naziat,46
Abese,42
Tekvir,29
İnfitar,19
Mutaffifin,36
İnşikak,25
Buruc,22
Tarık,17
Ala,19
Gaşiye,26
Fecr,30
Beled,20
Şems,15
Leyl,21
Duha,11
İnşirah,8
Tin,8
Alak,19
Kadir,5
Beyyine,8
Zilzal,8
Adiyat,11
Karia,11
Tekasür,8
Asr,3
Hümeze,9
Fil,5
Kureyş,4
Maun,7
Kevser,3
Kafirun,6
Nasr,3
Tebbet,5
İhlas,4
Felak,5
Nas,6
